"index";"Company";"TypeName";"Inches";"screen_type";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_model";"cpu_speed";"Ram";"Gpu";"storage_type";"primary_storage";"secondary_storage";"OpSys";"Weight";"Price"
1;"Apple";"Ultrabook";13.3;"IPS Retina";2560;1600;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";128;0;"macOS";1.37;71379.0
2;"Apple";"Ultrabook";13.3;"Standard";1440;900;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";128;0;"macOS";1.34;47896.0
3;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"No OS";1.86;30636.0
4;"Apple";"Ultrabook";15.4;"IPS Retina";2880;1800;0;"Intel";"Core i7";2.0;16;"AMD";"SSD";512;0;"macOS";1.83;135195.0
5;"Apple";"Ultrabook";13.3;"IPS Retina";2560;1600;0;"Intel";"Core i5";3.0;8;"Intel";"SSD";256;0;"macOS";1.37;96096.0
6;"Acer";"Notebook";15.6;"Standard";1366;768;0;"AMD";"A9-Series";3.0;4;"AMD";"HDD";500;0;"Windows";2.1;21312.0
7;"Apple";"Ultrabook";15.4;"IPS Retina";2880;1800;0;"Intel";"Core i7";2.0;16;"Intel";"SSD";256;0;"macOS";2.04;114018.0
8;"Apple";"Ultrabook";13.3;"Standard";1440;900;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"macOS";1.34;61736.0
9;"Asus";"Ultrabook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;16;"Nvidia";"SSD";512;0;"Windows";1.3;79654.0
10;"Acer";"Ultrabook";14.0;"IPS Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"Windows";1.6;41026.0
11;"Lenovo";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;1024;"Windows";2.5;62817.0
12;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"HDD";1024;0;"No OS";2.2;35112.0
13;"Acer";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Celeron";1.0;2;"Intel";"SSD";16;0;"Chrome OS";2.19;10603.0
14;"Asus";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"HDD";1024;0;"Windows";3.0;63243.0
15;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"AMD";"SSD";256;0;"Linux";2.2;25841.0
16;"HP";"Notebook";17.3;"Standard";1600;900;0;"Intel";"Core i3";2.0;8;"Intel";"HDD";1024;0;"Windows";2.54;26054.0
17;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";2.0;97449.0
18;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"Windows";2.05;39374.0
19;"Lenovo";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"HDD";1024;0;"Windows";3.2;69211.0
20;"Acer";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Linux";2.5;52161.0
21;"Dell";"Workstation";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"SSD";256;0;"Windows";3.42;153705.0
22;"Asus";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;6;"Nvidia";"SSD";256;0;"Windows";2.0;30743.0
23;"HP";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;12;"Nvidia";"Hybrid";128;1024;"Windows";2.62;66547.0
24;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"AMD";"SSD";256;0;"Windows";1.91;38308.0
25;"HP";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;4;"Intel";"HDD";500;0;"No OS";1.86;20987.0
26;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";500;0;"No OS";1.86;18381.0
27;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"AMD";"E-Series";1.0;4;"AMD";"HDD";500;0;"Windows";2.1;18595.0
28;"Apple";"Ultrabook";15.4;"IPS Retina";2880;1800;0;"Intel";"Core i7";2.0;16;"AMD";"SSD";256;0;"macOS";1.83;130002.0
29;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"AMD";"SSD";256;0;"Windows";2.2;26581.0
30;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"AMD";"HDD";1024;0;"Linux";2.2;34472.0
31;"Apple";"Ultrabook";12.0;"IPS Retina";2304;1440;0;"Intel";"Core M";1.0;8;"Intel";"SSD";256;0;"macOS";0.92;67261.0
32;"HP";"Ultrabook";13.3;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";1.38;59620.0
33;"Microsoft";"Ultrabook";13.5;"Standard";2256;1504;1;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";1.25;71395.0
34;"Apple";"Ultrabook";13.3;"IPS Retina";2560;1600;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"macOS";1.37;80908.0
35;"HP";"Notebook";14.0;"IPS Full HD";1920;1080;0;"Intel";"Core i5";2.0;6;"Nvidia";"SSD";256;0;"Windows";1.58;35112.0
36;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"AMD";"SSD";256;0;"Windows";2.2;39694.0
37;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Windows";1.85;22106.0
38;"Apple";"Ultrabook";15.4;"IPS Retina";2880;1800;0;"Intel";"Core i7";2.0;16;"AMD";"SSD";512;0;"macOS";1.83;152274.0
39;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"AMD";"A10-Series";2.0;6;"AMD";"HDD";1024;0;"Windows";2.4;26587.0
40;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;8;"Nvidia";"HDD";1024;0;"No OS";2.2;26587.0
41;"Dell";"Ultrabook";13.3;"IPS Full HD";1920;1080;1;"Intel";"Core i5";1.0;8;"Intel";"SSD";128;0;"Windows";1.22;52161.0
42;"Asus";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"SSD";512;0;"Windows";1.63;78215.0
43;"Lenovo";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Nvidia";"Hybrid";128;1024;"Windows";2.5;53227.0
44;"Asus";"Notebook";14.0;"Standard";1366;768;0;"Intel";"Core i3";2.0;4;"Intel";"SSD";128;0;"Windows";1.3;27120.0
45;"HP";"Notebook";15.6;"Standard";1366;768;0;"AMD";"E-Series";1.0;4;"AMD";"HDD";500;0;"No OS";1.86;13746.0
46;"Asus";"Gaming";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;1024;"Windows";2.9;113060.0
47;"Lenovo";"Notebook";17.3;"Standard";1600;900;0;"Intel";"Core i5";2.0;6;"Nvidia";"HDD";1024;0;"Windows";5.8;34579.0
48;"Lenovo";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;8;"Nvidia";"HDD";2048;0;"No OS";2.2;29251.0
49;"Asus";"Gaming";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"Hybrid";128;1024;"Windows";2.5;67399.0
50;"Lenovo";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Pentium";1.0;4;"Intel";"HDD";1024;0;"No OS";2.2;19180.0
51;"HP";"2 in 1 Convertible";13.3;"Full HD";1920;1080;1;"Intel";"Core i7";2.0;16;"Intel";"SSD";256;0;"Windows";1.28;105228.0
52;"Toshiba";"Notebook";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";2.2;55571.0
53;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Nvidia";"Hybrid";128;1024;"Windows";2.3;43636.0
54;"HP";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Windows";1.86;24988.0
55;"Asus";"Ultrabook";14.0;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";1.3;63563.0
56;"Lenovo";"Notebook";13.3;"IPS Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";1.1;53227.0
57;"MSI";"Gaming";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;1024;"Windows";2.2;69211.0
58;"Dell";"Ultrabook";13.3;"IPS 4K";3840;2160;1;"Intel";"Core i7";1.0;16;"Intel";"SSD";1024;0;"Windows";1.21;133147.0
59;"Lenovo";"Notebook";14.0;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Intel";"SSD";256;0;"Windows";1.58;78854.0
60;"MSI";"Gaming";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;1024;"Windows";2.8;111835.0
61;"Asus";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;16;"Nvidia";"Hybrid";256;1024;"Windows";1.5;67239.0
62;"Acer";"Notebook";15.6;"Full HD";1920;1080;0;"AMD";"A8-Series";2.0;8;"AMD";"SSD";256;0;"Windows";2.23;24988.0
63;"Dell";"Ultrabook";13.3;"Quad HD";3200;1800;1;"Intel";"Core i7";2.0;8;"Intel";"SSD";256;0;"Windows";1.23;73473.0
64;"Asus";"2 in 1 Convertible";11.6;"Standard";1366;768;1;"Intel";"Celeron";1.0;2;"Intel";"SSD";32;0;"Windows";1.1;14652.0
65;"Lenovo";"2 in 1 Convertible";13.3;"IPS Full HD";1920;1080;1;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";1.37;74539.0
66;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"AMD";"Hybrid";128;1024;"Windows";2.33;44968.0
67;"HP";"Notebook";14.0;"IPS";1366;768;0;"Intel";"Core i5";1.0;4;"Intel";"HDD";500;0;"Windows";1.63;38468.0
68;"HP";"2 in 1 Convertible";13.3;"IPS 4K";3840;2160;1;"Intel";"Core i7";1.0;16;"Intel";"SSD";1024;0;"Windows";1.29;130483.0
69;"Dell";"2 in 1 Convertible";13.3;"Full HD";1920;1080;1;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"Windows";1.62;43636.0
70;"Dell";"Ultrabook";13.3;"IPS Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"Windows";1.21;86793.0
71;"Lenovo";"Notebook";13.3;"Standard";1366;768;0;"Intel";"Celeron";1.0;4;"Intel";"SSD";16;0;"Chrome OS";1.45;24503.0
72;"HP";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";512;0;"Windows";1.63;57756.0
73;"HP";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Intel";"SSD";256;0;"Windows";1.95;52214.0
74;"Dell";"Notebook";15.6;"IPS Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Nvidia";"Hybrid";256;1024;"Windows";2.16;60224.0
75;"HP";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";256;0;"Windows";1.91;35112.0
76;"Acer";"Notebook";11.6;"Standard";1366;768;0;"Intel";"Pentium";1.0;4;"Intel";"SSD";128;0;"Windows";1.4;25841.0
77;"Asus";"Notebook";17.3;"Full HD";1920;1080;0;"Intel";"Core i3";2.0;4;"Nvidia";"HDD";1024;0;"Windows";2.0;30050.0
78;"Dell";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i3";2.0;4;"Intel";"HDD";1024;0;"Windows";2.3;22305.0
79;"Apple";"Ultrabook";13.3;"Standard";1440;900;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";128;0;"macOS";1.35;58555.0
80;"HP";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Intel";"SSD";256;0;"Windows";1.48;68838.0
81;"Asus";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Nvidia";"SSD";256;0;"Windows";1.7;59567.0
82;"Lenovo";"Notebook";17.3;"Standard";1600;900;0;"Intel";"Core i5";2.0;4;"Nvidia";"HDD";1024;0;"Windows";2.79;31382.0
83;"Acer";"Notebook";15.6;"IPS Full HD";1920;1080;1;"Intel";"Core i3";2.0;6;"Intel";"HDD";1024;0;"Windows";2.1;25521.0
84;"Dell";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"AMD";"SSD";256;0;"Windows";2.2;42624.0
85;"Asus";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Intel";"SSD";256;0;"Windows";2.0;58288.0
86;"Dell";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;8;"Intel";"SSD";256;256;"Windows";1.88;69157.0
87;"HP";"Notebook";17.3;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Nvidia";"HDD";1024;0;"Windows";2.5;47739.0
88;"MSI";"Gaming";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;16;"Nvidia";"Hybrid";256;2048;"Windows";1.8;119427.0
89;"HP";"Notebook";15.6;"IPS Full HD";1366;768;0;"Intel";"Core i7";1.0;8;"Intel";"HDD";1024;0;"Windows";2.1;48059.0
90;"Lenovo";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Core i5";2.0;8;"Nvidia";"SSD";256;0;"No OS";2.2;33513.0
91;"Chuwi";"Notebook";15.6;"Full HD";1920;1080;0;"Intel";"Atom";1.0;4;"Intel";"SSD";64;0;"Windows";1.89;13053.0
92;"Acer";"Notebook";15.6;"Standard";1366;768;0;"AMD";"A12-Series";2.0;8;"AMD";"SSD";256;0;"Windows";2.2;35112.0
93;"HP";"Notebook";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;16;"Nvidia";"SSD";512;0;"Windows";2.5;67719.0
94;"Asus";"Notebook";14.0;"Standard";1366;768;0;"AMD";"E-Series";1.0;2;"AMD";"SSD";32;0;"Windows";1.65;10603.0
95;"HP";"Notebook";17.3;"Full HD";1920;1080;0;"AMD";"A6-Series";2.0;4;"AMD";"HDD";500;0;"Windows";2.71;23390.0
96;"Acer";"Notebook";15.6;"Standard";1366;768;0;"AMD";"A9-Series";3.0;4;"AMD";"SSD";256;0;"Windows";2.1;24029.0
97;"Lenovo";"Notebook";14.0;"Standard";1366;768;0;"Intel";"Celeron";1.0;4;"Intel";"SSD";32;0;"Windows";1.44;15558.0
98;"HP";"Notebook";14.0;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Intel";"HDD";1024;0;"Windows";1.63;43263.0
99;"Acer";"Notebook";15.6;"Standard";1366;768;0;"Intel";"Core i5";2.0;6;"Intel";"HDD";1024;0;"Windows";8.23;29251.0
100;"Dell";"Ultrabook";13.3;"Quad HD";3200;1800;1;"Intel";"Core i7";1.0;16;"Intel";"SSD";512;0;"Windows";1.2;99580.0
101;"Asus";"Ultrabook";15.6;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Nvidia";"SSD";256;0;"Windows";1.7;55939.0
102;"Asus";"Notebook";14.0;"Standard";1366;768;0;"AMD";"E-Series";1.0;4;"AMD";"SSD";64;0;"Windows";1.65;14811.0
103;"Apple";"Ultrabook";13.3;"Standard";1440;900;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"macOS";1.35;53173.0
104;"HP";"Ultrabook";12.5;"Full HD";1920;1080;0;"Intel";"Core i7";2.0;8;"Intel";"SSD";256;0;"Windows";1.26;71129.0
105;"Lenovo";"Notebook";14.0;"Standard";1366;768;0;"Intel";"Celeron";1.0;4;"Intel";"SSD";64;0;"Windows";1.44;13267.0
106;"Dell";"Notebook";17.3;"Full HD";1920;1080;0;"Intel";"Core i7";1.0;16;"AMD";"Hybrid";256;2048;"Windows";2.8;74379.0
107;"Dell";"Notebook";15.6;"4K";3840;2160;1;"Intel";"Core i7";2.0;32;"Nvidia";"SSD";1024;0;"Windows";2.06;140606.0
108;"HP";"Notebook";17.3;"Full HD";1920;1080;0;"Intel";"Core i5";1.0;8;"Intel";"SSD";256;0;"Windows";2.5;49444.0
